name,type,collection,finish,grade,color,species,Species_description,grade_description,availability,thickness,RELATIVE HUMIDITY,MADE IN,warranty,INSTALLATION,RADIANT HEAT APPROVED,LEVEL,description,image
Agate HARD MAPLE,Engineered, SPECIAL FX, EVERSHINE™, EXCEL, AGATE, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 5""
PRESTIGE: 5"" *not pictured","11,4 mm",35-70%,Canada and United States,,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Agate.jpg
Amaretto RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, AMARETTO, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Amaretto.jpg
Angora WHITE OAK,Engineered, ALTA MODA, BRUSHED, LIVE SAWN CHARACTER, ANGORA, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Grade prized for its natural color variation and heavy character. Every floor done in this grade will have a unique appearance owing to the distinct nature of the tree from which the lumber was sawn. Classic grain will be predominant and vertical grain is accepted. Unlimited mineral streaks, character marks, ray flecks, cracks and splits are permitted. Sound, patched or open knots are also permitted of any diameter and frequency.","LIVE SAWN CHARACTER: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-LSC-7-Angora.jpg
Angora WHITE OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, ANGORA, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Angora.jpg
Art Nouveau HARD MAPLE,Engineered, ERA DESIGN, NATURAL OIL, EXCEL, ART NOUVEAU, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Art-Nouveau.jpg
Auburn RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, AUBURN, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Auburn.jpg
Avant-garde HICKORY,Engineered, ERA DESIGN, NATURAL OIL, EXCEL, AVANT-GARDE, HICKORY,"This species showcases the most extreme color variations of any of the species we carry. The sapwood is generally of an off-white color that can have pink or yellow undertones. The heartwood is of a dark or medium brown. Hickory’s grain pattern varies greatly from one board to the next, making for a very lively looking floor. Hickory is considerably denser than Red Oak and Maple, which makes it an excellent floor for high traffic areas.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,No,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Hickory-Excel-5-Avant-Garde.jpg
Bauhaus WHITE OAK,Engineered, ERA DESIGN, NATURAL OIL, EXCEL, BAUHAUS, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Bauhaus.jpg
Beachsand HARD MAPLE,Engineered, SPECIAL FX, EVERSHINE™, EXCEL, BEACHSAND, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Beach-Sand.jpg
Beaux Arts HARD MAPLE,Engineered, ERA DESIGN, NATURAL OIL, EXCEL, BEAUX ARTS, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Beaux-Arts.jpg
